RegionID,SizeRank,RegionNames,RegionType,StateName,11/30/2023
394913,1,New York - NY,msa,NY,605413.25
753899,2,Los Angeles - CA,msa,CA,869647.0455
394463,3,Chicago - IL,msa,IL,291519.4606
394514,4,Dallas - TX,msa,TX,314446.3969
394692,5,Houston - TX,msa,TX,261355.4027
395209,6,Washington - DC,msa,VA,486225.1384
394974,7,Philadelphia - PA,msa,PA,301758.2374
394856,8,Miami - FL,msa,FL,516016.5764
394347,9,Atlanta - GA,msa,GA,317809.7115
394404,10,Boston - MA,msa,MA,628419.9808
394976,11,Phoenix - AZ,msa,AZ,425684.8332
395057,12,San Francisco - CA,msa,CA,1107109.99
395025,13,Riverside - CA,msa,CA,528641.0132
394532,14,Detroit - MI,msa,MI,236105.9021
395078,15,Seattle - WA,msa,WA,660953.3469
394865,16,Minneapolis - MN,msa,MN,344307.6106
395056,17,San Diego - CA,msa,CA,852657.1843
395148,18,Tampa - FL,msa,FL,375784.5834
394530,19,Denver - CO,msa,CO,543931.8184
394358,20,Baltimore - MD,msa,MD,331226.1841
395121,21,St. Louis - MO,msa,MO,248871.4266
394943,22,Orlando - FL,msa,FL,361429.0673
394458,23,Charlotte - NC,msa,NC,339260.6646
395055,24,San Antonio - TX,msa,TX,255091.0626
394998,25,Portland - OR,msa,OR,503556.6717
395045,26,Sacramento - CA,msa,CA,514197.285
394982,27,Pittsburgh - PA,msa,PA,205811.4012
394466,28,Cincinnati - OH,msa,OH,254964.5026
394355,29,Austin - TX,msa,TX,406554.442
394775,30,Las Vegas - NV,msa,NV,391742.648
394735,31,Kansas City - MO,msa,MO,257765.0566
394492,32,Columbus - OH,msa,OH,285034.2354
394705,34,Indianapolis - IN,msa,IN,249073.1148
394475,35,Cleveland - OH,msa,OH,196447.7066
395059,36,San Jose - CA,msa,CA,1410860.493
394902,37,Nashville - TN,msa,TN,401383.0548
395194,38,Virginia Beach - VA,msa,VA,301351.4299
395005,39,Providence - RI,msa,RI,453158.5027
394714,40,Jacksonville - FL,msa,FL,316642.0818
394862,41,Milwaukee - WI,msa,WI,303804.3253
394935,42,Oklahoma City - OK,msa,OK,217136.7278
395012,43,Raleigh - NC,msa,NC,368514.0398
394849,44,Memphis - TN,msa,TN,201048.4727
395022,45,Richmond - VA,msa,VA,312648.8628
394807,46,Louisville - KY,msa,KY,247038.4841
394910,47,New Orleans - LA,msa,LA,227149.5097
395053,48,Salt Lake City - UT,msa,UT,484524.7232
394669,49,Hartford - CT,msa,CT,337500.8637
394425,50,Buffalo - NY,msa,NY,237194.2019
394388,51,Birmingham - AL,msa,AL,215857.588
395031,52,Rochester - NY,msa,NY,221735.7619
394640,53,Grand Rapids - MI,msa,MI,291950.0711
395167,54,Tucson - AZ,msa,AZ,335179.5838
753924,55,Urban Honolulu - HI,msa,HI,952118.522
395169,56,Tulsa - OK,msa,OK,219018.755
394619,57,Fresno - CA,msa,CA,364891.3601
395238,58,Worcester - MA,msa,MA,420134.288
394938,59,Omaha - NE,msa,NE,260542.0349
394415,60,Bridgeport - CT,msa,CT,534146.573
394653,61,Greenville - SC,msa,SC,284128.3189
394312,62,Albuquerque - NM,msa,NM,315521.6449
394357,63,Bakersfield - CA,msa,CA,318919.4257
394308,64,Albany - NY,msa,NY,297535.7593
394753,65,Knoxville - TN,msa,TN,337862.4294
394367,66,Baton Rouge - LA,msa,LA,230736.2078
394843,67,McAllen - TX,msa,TX,183004.2353
394908,68,New Haven - CT,msa,CT,352118.842
394561,69,El Paso - TX,msa,TX,205970.9992
394318,70,Allentown - PA,msa,PA,292245.2783
394952,71,Oxnard - CA,msa,CA,778085.3259
394486,72,Columbia - SC,msa,SC,228049.0547
753906,73,North Port - FL,msa,FL,474462.3006
394457,75,Charleston - SC,msa,SC,382324.1943
394648,76,Greensboro - NC,msa,NC,253847.9265
395134,77,Stockton - CA,msa,CA,475822.5836
394440,78,Cape Coral - FL,msa,FL,409992.0385
394399,79,Boise City - ID,msa,ID,420649.9417
394484,80,Colorado Springs - CO,msa,CO,407423.2679
394798,81,Little Rock - AR,msa,AR,207875.8851
394766,82,Lakeland - FL,msa,FL,299130.6062
394304,83,Akron - OH,msa,OH,195504.8062
394531,84,Des Moines - IA,msa,IA,266053.8968
395115,85,Springfield - MA,msa,MA,330964.6737
394931,87,Ogden - UT,msa,UT,430942.3235
394816,88,Madison - WI,msa,WI,372537.4049
395235,89,Winston - NC,msa,NC,255923.6037
394528,90,Deltona - FL,msa,FL,339372.7742
395143,91,Syracuse - NY,msa,NY,202603.6687
395006,92,Provo - UT,msa,UT,460733.7136
395160,93,Toledo - OH,msa,OH,174131.7457
395224,94,Wichita - KS,msa,KS,193905.6874
394549,95,Durham - NC,msa,NC,381042.8056
394352,96,Augusta - GA,msa,GA,215858.9834
394957,97,Palm Bay - FL,msa,FL,339262.6349
394711,98,Jackson - MS,msa,MS,190600.8972
394666,99,Harrisburg - PA,msa,PA,258559.0447
395113,100,Spokane - WA,msa,WA,394057.6128
395075,101,Scranton - PA,msa,PA,194288.1952
394460,102,Chattanooga - TN,msa,TN,296525.8926
394871,103,Modesto - CA,msa,CA,429393.8297
394768,104,Lancaster - PA,msa,PA,308979.3886
394997,105,Portland - ME,msa,ME,498073.1026
395245,106,Youngstown - OH,msa,OH,149541.5163
394770,107,Lansing - MI,msa,MI,222498.9432
394590,108,Fayetteville - AR,msa,AR,297653.322
394589,109,Fayetteville - NC,msa,NC,212325.8446
394792,110,Lexington - KY,msa,KY,263852.5536
394971,111,Pensacola - FL,msa,FL,283686.0966
395068,112,Santa Rosa - CA,msa,CA,769124.5233
395019,113,Reno - NV,msa,NV,498349.4855
394698,114,Huntsville - AL,msa,AL,279166.78
394995,115,Port St. Lucie - FL,msa,FL,403157.7805
394761,116,Lafayette - LA,msa,LA,216930.0963
394898,117,Myrtle Beach - SC,msa,SC,343400.8136
395116,118,Springfield - MO,msa,MO,230044.715
395195,119,Visalia - CA,msa,CA,324332.3319
394746,120,Killeen - TX,msa,TX,227554.5457
394338,121,Asheville - NC,msa,NC,435509.9513
395244,122,York - PA,msa,PA,259174.3362
395183,123,Vallejo - CA,msa,CA,537739.4484
753917,124,Santa Maria - CA,msa,CA,828629.923
395050,125,Salinas - CA,msa,CA,795542.0067
395048,126,Salem - OR,msa,OR,416772.3238
394870,127,Mobile - AL,msa,AL,185618.1621
395015,128,Reading - PA,msa,PA,261824.9967
394502,129,Corpus Christi - TX,msa,TX,231919.3163
394421,130,Brownsville - TX,msa,TX,204158.4706
